23,855,694
24,851,743
24,849,734
25,851,805
26,858,739
33,949,95
212,651,748
213,640,689
214,631,606
265,644,96
277,1498,927
278,1545,922
348,1118,814
349,1121,814
352,1123,817
353,1122,818
354,1122,819
355,1122,819
356,1121,819
357,1121,820
358,1121,819
400,795,535
401,786,554
402,775,574
404,750,626
405,738,656
408,690,558
460,1537,212
461,1472,212
462,1407,214
463,872,224
463,1880,191
464,1826,192
464,437,233
464,1288,214
465,367,226
466,681,216
467,221,216
467,614,214
470,907,184
470,391,190
471,1383,159
472,1307,145
473,1227,139
474,1144,124
475,1059,115
475,483,119
