frame,world_x_m,world_y_m
1,1.916715145111084,2.797055244445801
2,1.9174095392227173,3.026590585708618
3,1.9178481101989746,3.269679069519043
4,1.9182504415512085,3.4116945266723633
5,1.918872356414795,3.656118154525757
6,1.919398546218872,3.898059606552124
7,1.9204965829849243,4.327849864959717
8,1.920841932296753,4.561671257019043
9,1.9214659929275513,4.8485798835754395
10,1.9222456216812134,5.069377899169922
11,1.922780990600586,5.285881996154785
12,1.9234459400177002,5.4045257568359375
13,1.9226746559143066,5.236047744750977
14,1.922780990600586,5.285881996154785
15,1.9230849742889404,5.395456790924072
16,1.923363208770752,5.429356098175049
17,1.9233375787734985,5.514215469360352
18,1.9237754344940186,5.72011661529541
19,1.9245470762252808,5.901798248291016
20,1.9241172075271606,5.942969799041748
21,1.9246498346328735,6.191555500030518
22,1.9245208501815796,6.314014911651611
23,1.9257177114486694,6.605349063873291
24,1.9257144927978516,6.745134353637695
25,1.9261503219604492,6.91946268081665
26,1.9265352487564087,7.098493576049805
27,1.9267374277114868,7.192494869232178
28,1.9263523817062378,7.258936882019043
29,1.9266901016235352,7.250338077545166
30,1.9268349409103394,7.502216815948486
31,1.9271447658538818,7.588895797729492
32,1.927030086517334,7.589515686035156
33,1.927386999130249,7.6725921630859375
34,1.9276204109191895,7.6280436515808105
35,1.927513599395752,7.628966331481934
36,1.9272077083587646,7.617253303527832
37,2.691657066345215,1.0360983610153198
38,2.6653389930725098,1.0370458364486694
39,2.6653389930725098,1.0370458364486694
40,2.6099355220794678,1.0393428802490234
41,2.5950446128845215,1.0401850938796997
42,2.5803985595703125,1.0407100915908813
43,2.598961591720581,1.0397371053695679
44,2.6136069297790527,1.0392110347747803
45,2.6947851181030273,1.0356823205947876
46,2.6744658946990967,1.0365655422210693
47,2.691657066345215,1.0360983610153198
48,2.6561686992645264,1.0375282764434814
49,2.6430490016937256,1.0378482341766357
50,2.6581947803497314,1.037609338760376
51,2.650942325592041,1.0381814241409302
52,2.66949725151062,1.037203311920166
53,2.667407512664795,1.0371241569519043
54,2.6760945320129395,1.0363565683364868
55,2.6760945320129395,1.0363565683364868
56,2.6894614696502686,1.0360251665115356
