frame,world_x_m,world_y_m
57,2.670734405517578,1.0367000102996826
58,2.6558759212493896,1.0372354984283447
59,2.6835501194000244,1.0360876321792603
60,2.661606788635254,1.0371801853179932
61,2.6544413566589355,1.037744164466858
62,2.6524362564086914,1.0376625061035156
63,2.65757417678833,1.0370246171951294
64,2.654163122177124,1.0374481678009033
65,2.684037923812866,1.035336971282959
66,2.7008864879608154,1.0348707437515259
67,2.7008864879608154,1.0348707437515259
68,2.637697696685791,1.038500189781189
69,2.641437530517578,1.0383659601211548
70,0.6405980587005615,1.298420786857605
71,0.6432181596755981,1.2978707551956177
72,-0.8426649570465088,1.147342324256897
73,-0.8230211138725281,1.1489450931549072
74,-0.841494083404541,1.1473498344421387
75,-0.7498571276664734,1.154833197593689
76,-0.7677356600761414,1.1534558534622192
77,-0.7587029933929443,1.1541516780853271
78,-0.759331464767456,1.1541829109191895
79,-0.738422155380249,1.155949354171753
80,-0.759331464767456,1.1541829109191895
81,-0.7252246141433716,1.1568844318389893
82,-0.6600731015205383,1.1619632244110107
83,-0.636215329170227,1.1635204553604126
84,-0.629580020904541,1.1641666889190674
85,-0.5914455652236938,1.1674306392669678
86,-0.6103195548057556,1.1657822132110596
87,-0.6262592673301697,1.1644901037216187
88,-0.6461367011070251,1.162962555885315
89,-0.5866386890411377,1.1675350666046143
90,-0.5784077644348145,1.1681041717529297
91,-0.5667006373405457,1.1691302061080933
92,-0.6326985359191895,1.1640644073486328
93,-0.6293317079544067,1.164392352104187
94,-0.6101484298706055,1.165863037109375
95,-0.6072341203689575,1.1660189628601074
96,-0.5863670110702515,1.1676206588745117
97,-0.5753063559532166,1.1684060096740723
98,-0.563983142375946,1.1693388223648071
99,-0.5477115511894226,1.170649528503418
100,2.2115159034729004,0.984448254108429
152,6.296900272369385,-8.28693962097168
153,6.609580039978027,-7.595127582550049
154,6.786135196685791,-7.55233907699585
155,6.698394298553467,-9.08296012878418
156,6.779706001281738,-8.594989776611328
157,6.931382656097412,-8.779562950134277
158,7.153359413146973,-8.490503311157227
159,7.336461544036865,-8.439301490783691
160,7.344449043273926,-9.895525932312012
161,7.5979204177856445,-9.297074317932129
162,7.692804336547852,-9.26728343963623
163,8.351208686828613,-8.823076248168945
164,8.614089012145996,-8.742907524108887
165,8.87177562713623,-8.664322853088379
166,9.125396728515625,-8.817485809326172
167,9.2052583694458,-8.340314865112305
168,9.382512092590332,-8.972758293151855
169,9.597960472106934,-8.012104988098145
170,9.9183931350708,-8.129051208496094
171,9.774600982666016,-8.388994216918945
172,10.009978294372559,-8.31721305847168
173,10.187835693359375,-7.641961574554443
174,10.455626487731934,-7.375044822692871
175,10.783376693725586,-7.670934200286865
176,11.061878204345703,-9.138571739196777
177,11.449616432189941,-10.057577133178711
178,11.479486465454102,-8.750744819641113
179,11.754409790039062,-9.395490646362305
180,12.054420471191406,-10.09907341003418
181,12.150403022766113,-8.99595832824707
182,8.664037704467773,-11.808016777038574
183,9.20425033569336,-11.130575180053711
184,9.512162208557129,-12.692523002624512
185,9.537921905517578,-15.101926803588867
186,9.888782501220703,-14.978893280029297
187,10.328322410583496,-13.379584312438965
188,10.593417167663574,-13.786771774291992
189,10.684672355651855,-12.806272506713867
190,10.952495574951172,-12.375386238098145
191,11.020161628723145,-11.532890319824219
192,11.260583877563477,-11.164424896240234
193,11.675957679748535,-11.211447715759277
194,11.759932518005371,-10.39913272857666
195,12.05015754699707,-10.609418869018555
196,12.298869132995605,-10.209280967712402
197,12.439093589782715,-9.35826587677002
198,12.487702369689941,-9.905477523803711
199,12.633952140808105,-10.334532737731934
200,13.235506057739258,-9.316805839538574
201,13.700532913208008,-10.219091415405273
202,13.769518852233887,-9.036005020141602
203,13.8291015625,-11.177680969238281
204,14.777871131896973,-10.849371910095215
205,14.890645027160645,-10.132116317749023
206,14.86695671081543,-8.985184669494629
207,15.198617935180664,-8.284541130065918
208,15.48060417175293,-8.3847017288208
209,16.182050704956055,-9.102831840515137
210,15.43258285522461,-6.5891804695129395
211,15.49644947052002,-6.468993186950684
212,-3.5402557849884033,0.023548290133476257
213,-3.510066032409668,0.015657193958759308
214,-3.4989118576049805,0.012603278271853924
215,-3.484644889831543,0.010121014900505543
216,-3.4489049911499023,0.0003062283212784678
217,-3.440298318862915,-0.00038227171171456575
218,-4.649301052093506,0.32817426323890686
219,-13.91799259185791,2.846959352493286
220,-11.918042182922363,2.331172466278076
221,-10.910177230834961,2.065436601638794
222,-9.953570365905762,1.8123729228973389
223,-9.751509666442871,1.7576755285263062
224,-9.126493453979492,1.5859142541885376
225,-3.5476462841033936,0.04486984759569168
226,-3.5142619609832764,0.04282478615641594
227,-3.478374481201172,0.039288122206926346
228,-3.4542410373687744,0.037263721227645874
229,-3.437877655029297,0.03646780550479889
230,-3.417907476425171,0.03358270600438118
231,-3.39892315864563,0.03079770877957344
232,-3.386388063430786,0.02884840965270996
233,-3.3713696002960205,0.025669138878583908
234,-3.3675999641418457,0.02545536868274212
235,-3.3682703971862793,0.0261534396559
236,-3.373394012451172,0.028578635305166245
237,-3.373394012451172,0.028578635305166245
238,-3.3740053176879883,0.029253864660859108
239,-3.3746349811553955,0.029949499294161797
240,-3.3744866847991943,0.03039337322115898
241,-3.374342441558838,0.030824847519397736
242,2.6670608520507812,24.600481033325195
243,2.694385528564453,24.750520706176758
244,2.686889171600342,24.707149505615234
245,2.6848866939544678,24.69472312927246
277,2.6752140522003174,24.609895706176758
278,2.673299789428711,24.590774536132812
315,2.6845574378967285,24.71187400817871
316,2.6845850944519043,24.71219825744629
348,2.681952476501465,24.682374954223633
349,2.681952476501465,24.682374954223633
350,2.681938648223877,24.682218551635742
351,2.681924819946289,24.68206024169922
352,2.681910514831543,24.681894302368164
353,2.681896448135376,24.681734085083008
354,2.68188214302063,24.68157196044922
355,2.68188214302063,24.68157196044922
356,2.681881904602051,24.68156623840332
357,2.6818673610687256,24.681398391723633
358,2.6823792457580566,24.687265396118164
359,2.6827902793884277,24.691980361938477
360,2.6831278800964355,24.695852279663086
361,2.6834115982055664,24.699108123779297
362,2.6836509704589844,24.701852798461914
363,2.68385648727417,24.70421028137207
364,8.031152725219727,-13.529626846313477
365,8.339960098266602,-13.39185619354248
366,8.607760429382324,-15.420134544372559
367,9.010629653930664,-16.02248191833496
368,9.232504844665527,-15.900246620178223
369,9.459532737731934,-15.367976188659668
370,9.774638175964355,-15.199041366577148
371,10.089266777038574,-15.841461181640625
372,10.527533531188965,-16.455177307128906
373,10.807863235473633,-18.21603775024414
374,11.28541374206543,-20.783300399780273
375,11.647358894348145,-22.569000244140625
376,12.025871276855469,-22.240903854370117
377,12.718770980834961,-19.0604248046875
378,13.205831527709961,-19.275646209716797
379,13.309893608093262,-19.193950653076172
380,13.638717651367188,-18.36087417602539
381,14.58233642578125,-17.64332389831543
382,14.835158348083496,-16.4348201751709
383,15.002827644348145,-16.315019607543945
384,15.014193534851074,-16.799148559570312
385,15.249622344970703,-16.13867950439453
386,15.330659866333008,-16.080778121948242
387,15.804464340209961,-15.74223804473877
388,16.07569694519043,-15.100875854492188
389,16.54965591430664,-15.209787368774414
390,16.605920791625977,-14.316206932067871
391,17.244159698486328,-14.713554382324219
392,17.38626480102539,-14.19252872467041
393,17.76663589477539,-13.928894996643066
394,1.4563045501708984,1.2740323543548584
395,1.4637820720672607,1.2743769884109497
396,1.4647842645645142,1.2745627164840698
397,1.4733701944351196,1.275046944618225
398,1.485013723373413,1.2755805253982544
399,1.4810972213745117,1.2755314111709595
400,1.5194329023361206,1.2769415378570557
401,1.5011917352676392,1.2764493227005005
402,1.5092021226882935,1.276856541633606
403,1.5067355632781982,1.2769055366516113
404,1.4922093152999878,1.27651846408844
405,1.5046557188034058,1.2770801782608032
406,1.5158493518829346,1.2773973941802979
407,1.5486094951629639,1.2786153554916382
408,1.5291674137115479,1.278149962425232
409,1.5554990768432617,1.279158592224121
410,1.5719057321548462,1.2799034118652344
411,1.5944926738739014,1.2808576822280884
412,1.6431348323822021,1.2826042175292969
413,1.653519868850708,1.2831579446792603
414,1.6830891370773315,1.2843745946884155
415,1.6988425254821777,1.2849183082580566
416,1.708988904953003,1.2855006456375122
417,1.6798650026321411,1.2845100164413452
418,1.730889916419983,1.2863730192184448
419,1.6529520750045776,1.2809182405471802
420,1.546620488166809,1.277974247932434
421,1.3936563730239868,1.273750901222229
422,1.2731666564941406,1.2706730365753174
423,1.1978530883789062,1.2687557935714722
424,1.1108685731887817,1.3240052461624146
425,0.9861955642700195,1.3242264986038208
426,0.9121466279029846,1.3242570161819458
460,1.2377201318740845,1.391453504562378
461,1.3099536895751953,1.3992881774902344
462,1.389662265777588,1.4079337120056152
463,2.58998966217041,1.538193702697754
464,1.0090746879577637,1.3663990497589111
465,9.041827201843262,2.237412452697754
466,13.076438903808594,2.673722505569458
467,22.88701057434082,3.7346551418304443
468,6.2693257331848145,1.9351931810379028
469,3.591254711151123,1.645197868347168
470,2.4981319904327393,1.5268610715866089
471,1.9786432981491089,1.4703387022018433
472,1.6422524452209473,1.433759093284607
473,1.7810020446777344,1.4485430717468262
474,1.9533419609069824,1.4667918682098389
475,2.1478350162506104,1.4873864650726318
